id,email,first_name,last_name,phone_number,created_at,created_by,updated_at,updated_by
44672793-1a68-4c66-a2d9-9112a30c959c,,,,,,,NOT NULL,NOT NULL
2772c5d8-42ab-4d18-8e30-109278b13bd0,,,,,,,NOT NULL,NOT NULL
3520ef7b-d093-4046-bc5a-e3b0abcfc72f,,,,,,,NOT NULL,NOT NULL
2eb902d3-85d9-400d-83fd-3855a7f6fb88,,,,,,,NOT NULL,NOT NULL
096fc573-a738-450e-a081-2565ff7e0293,,,,,,,NOT NULL,NOT NULL
02a7d552-04f1-4f57-9609-8ba004fb0caa,,,,,,,NOT NULL,NOT NULL
70c898bc-5017-4d4e-9603-3503bbf1d348,,,,,,,NOT NULL,NOT NULL
4f7ba81c-e8da-4d70-b5c4-1bc9bed62936,,,,,,,NOT NULL,NOT NULL
721a0a4a-821a-44d9-bddd-c867ab3eb618,,,,,,,NOT NULL,NOT NULL
e1f76a54-6baf-4730-b07d-9808322520b5,,,,,,,NOT NULL,NOT NULL
a0294b32-bcd6-49ab-a973-fbb045281f1d,,,,,,,NOT NULL,NOT NULL
01363663-0a8c-4983-b534-a7fc09863a4d,,,,,,,NOT NULL,NOT NULL
fb586665-9b6c-484b-a4f9-b8ae3be3daef,,,,,,,NOT NULL,NOT NULL
637c74bc-bb8e-4e65-b840-565022d261b1,,,,,,,NOT NULL,NOT NULL
b7679b63-dbf4-4aa0-a22d-1326c22bd4e9,,,,,,,NOT NULL,NOT NULL
1526c865-537f-40c3-8f26-6dfbe54f5ba1,,,,,,,NOT NULL,NOT NULL
f75527af-3ec1-4d42-bd1a-b970596e8c2f,,,,,,,NOT NULL,NOT NULL
853ffa25-2635-4b4e-856d-0142a3c9e889,,,,,,,NOT NULL,NOT NULL
72fb806b-4ce5-4f7d-806a-39c981234959,,,,,,,NOT NULL,NOT NULL
a37d8070-1e5d-4275-8ed8-0945f0f449c4,,,,,,,NOT NULL,NOT NULL
e0bd1661-6fb1-402e-819f-116996bed878,,,,,,,NOT NULL,NOT NULL
eeb78b5d-a197-403f-8406-c5fbf024db5d,,,,,,,NOT NULL,NOT NULL
4949ed4d-54c2-4cb1-870e-ea6d848fb7a5,,,,,,,NOT NULL,NOT NULL
907aec40-a5d6-4d7c-a1bc-143ff959d09f,,,,,,,NOT NULL,NOT NULL
1b15db20-787c-4c32-a374-3c99c5a6312c,,,,,,,NOT NULL,NOT NULL
